suite,model,source,budget,n_tasks,n_repeats,success_agreement_rate,mean_success_rate,std_success_rate,nonmonotonicity_rate
paper_repeatability_small,DeepSeek-V3-0324,evalplus_humaneval,128,30,6,0.9288888888888889,0.9,0.02721655269759086,0.022222222222222223
paper_repeatability_small,DeepSeek-V3-0324,evalplus_humaneval,512,30,6,0.9888888888888889,0.9944444444444445,0.012422599874998828,0.022222222222222223
paper_repeatability_small,DeepSeek-V3-0324,evalplus_humaneval,2048,30,6,0.9711111111111111,0.9833333333333333,0.02545875386086577,0.022222222222222223
paper_repeatability_small,DeepSeek-V3-0324,evalplus_mbpp,128,30,6,0.9777777777777779,0.9333333333333333,0.01924500897298752,0.03333333333333333
paper_repeatability_small,DeepSeek-V3-0324,evalplus_mbpp,512,30,6,0.9777777777777779,0.9333333333333333,0.0,0.03333333333333333
paper_repeatability_small,DeepSeek-V3-0324,evalplus_mbpp,2048,30,6,0.9666666666666667,0.9166666666666666,0.02545875386086577,0.03333333333333333
paper_repeatability_small,DeepSeek-V3-0324,gsm8k,128,40,6,0.9416666666666667,0.10416666666666667,0.03359274061791062,0.016666666666666666
paper_repeatability_small,DeepSeek-V3-0324,gsm8k,512,40,6,0.9783333333333335,0.9625,0.012500000000000011,0.016666666666666666
paper_repeatability_small,DeepSeek-V3-0324,gsm8k,2048,40,6,0.9666666666666666,0.9583333333333334,0.027638539919628318,0.016666666666666666
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_humaneval,128,30,6,0.9888888888888889,0.3611111111111111,0.012422599874998828,0.027777777777777776
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_humaneval,512,30,6,0.9666666666666667,0.85,0.02545875386086577,0.027777777777777776
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_humaneval,2048,30,6,0.9777777777777777,0.8555555555555555,0.01571348402636772,0.027777777777777776
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_mbpp,128,30,6,0.9777777777777777,0.8222222222222222,0.024845199749997656,0.011111111111111112
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_mbpp,512,30,6,0.9888888888888889,0.8944444444444445,0.012422599874998828,0.011111111111111112
paper_repeatability_small,gemini-2.0-flash-lite-001,evalplus_mbpp,2048,30,6,0.9777777777777777,0.8888888888888888,0.01571348402636772,0.011111111111111112
paper_repeatability_small,gemini-2.0-flash-lite-001,gsm8k,128,40,6,1.0,0.25,0.0,0.008333333333333333
paper_repeatability_small,gemini-2.0-flash-lite-001,gsm8k,512,40,6,0.9783333333333332,0.9625,0.012500000000000011,0.008333333333333333
paper_repeatability_small,gemini-2.0-flash-lite-001,gsm8k,2048,40,6,0.9833333333333334,0.9666666666666667,0.018633899812498224,0.008333333333333333
