suite,run_id,model,track,source,budget,success_rate,bootstrap_mean,ci_low,ci_high,confidence,n_tasks,n_bootstrap
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,64,0.25609756097560976,0.2554878048780488,0.1951219512195122,0.3231707317073171,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,128,0.4695121951219512,0.4699939024390244,0.39634146341463417,0.5426829268292683,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,256,0.5060975609756098,0.5055670731707317,0.4329268292682927,0.5792682926829268,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,512,0.49390243902439024,0.493219512195122,0.4146341463414634,0.5670731707317073,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,1024,0.5060975609756098,0.5047865853658536,0.4268292682926829,0.5853658536585366,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,all,all,2048,0.5121951219512195,0.513359756097561,0.4329268292682927,0.5975609756097561,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,64,0.25609756097560976,0.257109756097561,0.1951219512195122,0.32926829268292684,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,128,0.4695121951219512,0.469219512195122,0.3902439024390244,0.5489329268292682,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,256,0.5060975609756098,0.5058841463414634,0.4268292682926829,0.5792682926829268,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,512,0.49390243902439024,0.4917804878048781,0.42057926829268305,0.573170731707317,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,1024,0.5060975609756098,0.5046524390243902,0.4268292682926829,0.5792682926829268,0.95,164,1000
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,coding,evalplus_humaneval,2048,0.5121951219512195,0.5127134146341463,0.43902439024390244,0.5914634146341463,0.95,164,1000
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,all,all,64,0.32926829268292684,0.3310792682926829,0.2621951219512195,0.4024390243902439,0.95,164,1000
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,all,all,128,0.7682926829268293,0.7679756097560976,0.7012195121951219,0.8353658536585366,0.95,164,1000
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,all,all,256,0.8353658536585366,0.8355182926829268,0.774390243902439,0.8903963414634145,0.95,164,1000
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,all,all,512,0.8597560975609756,0.8602865853658537,0.8109756097560976,0.9085365853658537,0.95,164,1000
